id,都道府県コード,名称,読み,検索文字列,住所,緯度,経度,分類1,分類2,分類3
010000088500,01,女那川煉瓦製造所跡,めながわれんがせいぞうしよあと,女那川煉瓦製造所跡,北海道 函館市 女那川町,41.769368,141.086654,施設,史跡・文化財・遺跡,史跡・文化財
010000088600,01,古武井熔鉱炉跡,こぶいようこうろあと,古武井熔鉱炉跡,北海道 函館市 恵山町,41.786338,141.151091,施設,史跡・文化財・遺跡,史跡・文化財
010000088700,01,豊国寺,ほうこくじ,豊国寺,北海道 函館市 恵山町375番地,41.786549,141.146332,施設,埋葬・信仰・宗教施設,寺院
010000088800,01,恵山貝塚,えさんかいづか,恵山貝塚,北海道 函館市 恵山町,41.786087,141.142008,施設,古墳・貝塚,貝塚
010000090000,01,恵山岬灯台,えさんみさきとうだい,恵山岬灯台,北海道 函館市 恵山岬町,41.814486,141.180691,施設,史跡・文化財・遺跡,灯台
010000090100,01,八幡神社,はちまんじんじや,八幡神社,北海道 札幌市 白石区東米里2059番地,43.086430,141.458374,施設,埋葬・信仰・宗教施設,神社
010000091200,01,木直稲荷神社,きなおしいなりじんじや,木直稲荷神社,北海道 函館市 木直町,41.885536,141.067427,施設,埋葬・信仰・宗教施設,神社
010000091300,01,龍王寺,りゆうおうじ,龍王寺,北海道 函館市 川汲町781番地,41.906678,140.975052,施設,埋葬・信仰・宗教施設,寺院
010000091500,01,磨光Ｂ遺跡,まこうびーいせき,磨光Ｂ遺跡,北海道 茅部郡森町 −,42.029994,140.569021,施設,史跡・文化財・遺跡,遺跡
010000091600,01,著保内野遺跡,ちよぼないのいせき,著保内野遺跡,北海道 茅部郡森町 −,42.029994,140.569021,施設,史跡・文化財・遺跡,遺跡
010000091700,01,ハマナス野遺跡,はまなすのいせき,ハマナス野遺跡,北海道 茅部郡森町 −,42.029994,140.569021,施設,史跡・文化財・遺跡,遺跡
010000092300,01,覚王寺,かくおうじ,覚王寺,北海道 函館市 臼尻町175番地,41.933105,140.946106,施設,埋葬・信仰・宗教施設,寺院
010000092400,01,官営鱈肝油製造所跡,かんえいたらかんゆせいぞうしよあと,官営鱈肝油製造所跡,北海道 茅部郡森町 −,42.029994,140.569021,施設,史跡・文化財・遺跡,史跡・文化財
010000092600,01,垣ノ島Ｂ遺跡,かきのしまびーいせき,垣ノ島Ｂ遺跡,北海道 函館市 臼尻町,41.928937,140.946727,施設,史跡・文化財・遺跡,遺跡
010000092700,01,臼尻Ｂ遺跡,うすじりびーいせき,臼尻Ｂ遺跡,北海道 茅部郡森町 −,42.029994,140.569021,施設,史跡・文化財・遺跡,遺跡
010000093000,01,大船遺跡,おおふねいせき,大船遺跡,北海道 函館市 大船町,41.957686,140.925449,施設,史跡・文化財・遺跡,遺跡
010000093900,01,定規寺,じようきじ,定規寺,北海道 茅部郡森町 字砂原四丁目字砂原4丁目78番地,42.124998,140.692501,施設,埋葬・信仰・宗教施設,寺院
010000094000,01,砂原盛岡藩陣屋跡,さわらもりおかはんじんやあと,砂原盛岡藩陣屋跡,北海道 茅部郡森町 字砂原四丁目,42.121368,140.689472,施設,史跡・文化財・遺跡,史跡・文化財
010000094700,01,尾白内貝塚,おしろないかいづか,尾白内貝塚,北海道 茅部郡森町 字尾白内町,42.114299,140.619264,施設,古墳・貝塚,貝塚
010000095100,01,森町稲荷神社,もりまちいなりじんじや,森町稲荷神社,北海道 茅部郡森町 字御幸町182番地,42.105923,140.575073,施設,埋葬・信仰・宗教施設,神社
